axis,tissue_key,condition,constrained,n_echoes,dTE_ms,snr,noise,sigma_joint,max_relSD_T2,functional,functional_value,functional_SD,delta
snr,spinal_cord_wm,normal,1,32,10.0,1500.0,rician,0,0.017066124608904304,myelin water fraction (mass below 40 ms),0.296,0.002994548844334006,-0.0305
snr,spinal_cord_wm,normal,1,32,10.0,2000.0,rician,0,0.012799574414840736,myelin water fraction (mass below 40 ms),0.296,0.002245905598122256,-0.0305
snr,spinal_cord_wm,normal,1,32,10.0,3000.0,rician,0,0.008533040542728982,myelin water fraction (mass below 40 ms),0.296,0.0014972675250064901,-0.0305
snr,skeletal_muscle,normal,0,32,10.0,20.0,rician,0,14.543142333541589,extracellular fraction (1 - mass below 60 ms),0.13318284424379234,3.338791209393665,0.062
snr,skeletal_muscle,normal,0,32,10.0,30.0,rician,0,8.282736051269426,extracellular fraction (1 - mass below 60 ms),0.13318284424379234,1.808942075227319,0.062
snr,skeletal_muscle,normal,0,32,10.0,50.0,rician,0,4.467909679307652,extracellular fraction (1 - mass below 60 ms),0.13318284424379234,0.8812724819036096,0.062
snr,skeletal_muscle,normal,0,32,10.0,70.0,rician,0,3.0433552975131835,extracellular fraction (1 - mass below 60 ms),0.13318284424379234,0.5686903628324399,0.062
snr,skeletal_muscle,normal,0,32,10.0,100.0,rician,0,2.0584757819716177,extracellular fraction (1 - mass below 60 ms),0.13318284424379234,0.368764974038557,0.062
snr,skeletal_muscle,normal,0,32,10.0,150.0,rician,0,1.3417674369379355,extracellular fraction (1 - mass below 60 ms),0.13318284424379234,0.23349618212561737,0.062
snr,skeletal_muscle,normal,0,32,10.0,200.0,rician,0,0.9982113670401862,extracellular fraction (1 - mass below 60 ms),0.13318284424379234,0.17188769040146323,0.062
snr,skeletal_muscle,normal,0,32,10.0,300.0,rician,0,0.6620648696822943,extracellular fraction (1 - mass below 60 ms),0.13318284424379234,0.11324707613837333,0.062
snr,skeletal_muscle,normal,0,32,10.0,500.0,rician,0,0.39633183176573383,extracellular fraction (1 - mass below 60 ms),0.13318284424379234,0.06759257293232913,0.062
snr,skeletal_muscle,normal,0,32,10.0,700.0,rician,0,0.28292488504831326,extracellular fraction (1 - mass below 60 ms),0.13318284424379234,0.0482141835693211,0.062
snr,skeletal_muscle,normal,0,32,10.0,1000.0,rician,0,0.1979854076306271,extracellular fraction (1 - mass below 60 ms),0.13318284424379234,0.033725686662904604,0.062
snr,skeletal_muscle,normal,0,32,10.0,1500.0,rician,0,0.1319683743555685,extracellular fraction (1 - mass below 60 ms),0.13318284424379234,0.02247523438369989,0.062
snr,skeletal_muscle,normal,0,32,10.0,2000.0,rician,0,0.09897055309717777,extracellular fraction (1 - mass below 60 ms),0.13318284424379234,0.01685418804373859,0.062
snr,skeletal_muscle,normal,0,32,10.0,3000.0,rician,0,0.06597764554871716,extracellular fraction (1 - mass below 60 ms),0.13318284424379234,0.011235061529318744,0.062
snr,articular_cartilage,normal,0,32,10.0,20.0,rician,0,2.13691097569287,short/intermediate fraction (mass below 45 ms),0.15458422174840084,0.2235324897039684,
snr,articular_cartilage,normal,0,32,10.0,30.0,rician,0,1.3816708599783984,short/intermediate fraction (mass below 45 ms),0.15458422174840084,0.14163757258464474,
snr,articular_cartilage,normal,0,32,10.0,50.0,rician,0,0.8130472798107893,short/intermediate fraction (mass below 45 ms),0.15458422174840084,0.08229702158163753,
snr,articular_cartilage,normal,0,32,10.0,70.0,rician,0,0.577669222391921,short/intermediate fraction (mass below 45 ms),0.15458422174840084,0.0582694512884316,
snr,articular_cartilage,normal,0,32,10.0,100.0,rician,0,0.40333859902881275,short/intermediate fraction (mass below 45 ms),0.15458422174840084,0.04061621912195939,
snr,articular_cartilage,normal,0,32,10.0,150.0,rician,0,0.26855216621102335,short/intermediate fraction (mass below 45 ms),0.15458422174840084,0.027020361248976433,
snr,articular_cartilage,normal,0,32,10.0,200.0,rician,0,0.20132735239508603,short/intermediate fraction (mass below 45 ms),0.15458422174840084,0.02025068826128116,
snr,articular_cartilage,normal,0,32,10.0,300.0,rician,0,0.1341773835133644,short/intermediate fraction (mass below 45 ms),0.15458422174840084,0.013493590822966485,
snr,articular_cartilage,normal,0,32,10.0,500.0,rician,0,0.08049396707743561,short/intermediate fraction (mass below 45 ms),0.15458422174840084,0.008094058705969567,
snr,articular_cartilage,normal,0,32,10.0,700.0,rician,0,0.057493245307103466,short/intermediate fraction (mass below 45 ms),0.15458422174840084,0.005781059235079222,
snr,articular_cartilage,normal,0,32,10.0,1000.0,rician,0,0.0402443631819068,short/intermediate fraction (mass below 45 ms),0.15458422174840084,0.004046588665933382,
snr,articular_cartilage,normal,0,32,10.0,1500.0,rician,0,0.026829252321469477,short/intermediate fraction (mass below 45 ms),0.15458422174840084,0.002697671431316619,
snr,articular_cartilage,normal,0,32,10.0,2000.0,rician,0,0.020121854438934765,short/intermediate fraction (mass below 45 ms),0.15458422174840084,0.0020232393109704933,
snr,articular_cartilage,normal,0,32,10.0,3000.0,rician,0,0.0134145292482651,short/intermediate fraction (mass below 45 ms),0.15458422174840084,0.0013488194163377859,
snr,bone_marrow_vertebral,normal,0,32,10.0,20.0,rician,0,0.9446589210584855,fat fraction (1 - mass below 75 ms),0.32999999999999996,0.5877684345117923,
snr,bone_marrow_vertebral,normal,0,32,10.0,30.0,rician,0,0.5676114503007945,fat fraction (1 - mass below 75 ms),0.32999999999999996,0.35916287583441364,
snr,bone_marrow_vertebral,normal,0,32,10.0,50.0,rician,0,0.3168388825472962,fat fraction (1 - mass below 75 ms),0.32999999999999996,0.20292876763831766,
snr,bone_marrow_vertebral,normal,0,32,10.0,70.0,rician,0,0.2217117790247474,fat fraction (1 - mass below 75 ms),0.32999999999999996,0.1424962016801951,
snr,bone_marrow_vertebral,normal,0,32,10.0,100.0,rician,0,0.15371325101810474,fat fraction (1 - mass below 75 ms),0.32999999999999996,0.09895481995260821,
snr,bone_marrow_vertebral,normal,0,32,10.0,150.0,rician,0,0.10200301032125539,fat fraction (1 - mass below 75 ms),0.32999999999999996,0.06571780281928918,
snr,bone_marrow_vertebral,normal,0,32,10.0,200.0,rician,0,0.07638359432044238,fat fraction (1 - mass below 75 ms),0.32999999999999996,0.04922504972007579,
snr,bone_marrow_vertebral,normal,0,32,10.0,300.0,rician,0,0.05086685566425582,fat fraction (1 - mass below 75 ms),0.32999999999999996,0.03278707089914987,
snr,bone_marrow_vertebral,normal,0,32,10.0,500.0,rician,0,0.03050322816669268,fat fraction (1 - mass below 75 ms),0.32999999999999996,0.019663234769241752,
snr,bone_marrow_vertebral,normal,0,32,10.0,700.0,rician,0,0.02178471182433179,fat fraction (1 - mass below 75 ms),0.32999999999999996,0.014043402804215491,
snr,bone_marrow_vertebral,normal,0,32,10.0,1000.0,rician,0,0.015248069778968722,fat fraction (1 - mass below 75 ms),0.32999999999999996,0.009829726590105729,
snr,bone_marrow_vertebral,normal,0,32,10.0,1500.0,rician,0,0.010164943030971527,fat fraction (1 - mass below 75 ms),0.32999999999999996,0.006552918026393477,
snr,bone_marrow_vertebral,normal,0,32,10.0,2000.0,rician,0,0.00762359264870858,fat fraction (1 - mass below 75 ms),0.32999999999999996,0.004914627370381857,
snr,bone_marrow_vertebral,normal,0,32,10.0,3000.0,rician,0,0.005082340524734407,fat fraction (1 - mass below 75 ms),0.32999999999999996,0.003276389132786195,
snr,myocardium,normal,0,32,10.0,20.0,rician,0,0.06245874443631983,T2 (mono-exponential),,,
snr,myocardium,normal,0,32,10.0,30.0,rician,0,0.04065162727794912,T2 (mono-exponential),,,
snr,myocardium,normal,0,32,10.0,50.0,rician,0,0.02396184312885023,T2 (mono-exponential),,,
snr,myocardium,normal,0,32,10.0,70.0,rician,0,0.01699877833711116,T2 (mono-exponential),,,
snr,myocardium,normal,0,32,10.0,100.0,rician,0,0.0118441330571208,T2 (mono-exponential),,,
snr,myocardium,normal,0,32,10.0,150.0,rician,0,0.007871156405403897,T2 (mono-exponential),,,
snr,myocardium,normal,0,32,10.0,200.0,rician,0,0.0058952447315129665,T2 (mono-exponential),,,
snr,myocardium,normal,0,32,10.0,300.0,rician,0,0.00392549732055358,T2 (mono-exponential),,,
snr,myocardium,normal,0,32,10.0,500.0,rician,0,0.0023535080193920507,T2 (mono-exponential),,,
snr,myocardium,normal,0,32,10.0,700.0,rician,0,0.001680656373771884,T2 (mono-exponential),,,
snr,myocardium,normal,0,32,10.0,1000.0,rician,0,0.0011762899747134767,T2 (mono-exponential),,,
snr,myocardium,normal,0,32,10.0,1500.0,rician,0,0.0007841321157138043,T2 (mono-exponential),,,
snr,myocardium,normal,0,32,10.0,2000.0,rician,0,0.0005880835380649908,T2 (mono-exponential),,,
snr,myocardium,normal,0,32,10.0,3000.0,rician,0,0.00039204848708002956,T2 (mono-exponential),,,
snr,blood_arterial,normal,0,32,10.0,20.0,rician,0,0.04554271356052339,T2 (mono-exponential; oxygenation via Luz-Meiboom),,,
snr,blood_arterial,normal,0,32,10.0,30.0,rician,0,0.030305805480070634,T2 (mono-exponential; oxygenation via Luz-Meiboom),,,
snr,blood_arterial,normal,0,32,10.0,50.0,rician,0,0.01816651566563536,T2 (mono-exponential; oxygenation via Luz-Meiboom),,,
snr,blood_arterial,normal,0,32,10.0,70.0,rician,0,0.01297276285943863,T2 (mono-exponential; oxygenation via Luz-Meiboom),,,
snr,blood_arterial,normal,0,32,10.0,100.0,rician,0,0.009079701808259708,T2 (mono-exponential; oxygenation via Luz-Meiboom),,,
snr,blood_arterial,normal,0,32,10.0,150.0,rician,0,0.006052696508729651,T2 (mono-exponential; oxygenation via Luz-Meiboom),,,
snr,blood_arterial,normal,0,32,10.0,200.0,rician,0,0.004539407452881935,T2 (mono-exponential; oxygenation via Luz-Meiboom),,,
snr,blood_arterial,normal,0,32,10.0,300.0,rician,0,0.0030262169187821332,T2 (mono-exponential; oxygenation via Luz-Meiboom),,,
snr,blood_arterial,normal,0,32,10.0,500.0,rician,0,0.0018157133445861307,T2 (mono-exponential; oxygenation via Luz-Meiboom),,,
snr,blood_arterial,normal,0,32,10.0,700.0,rician,0,0.0012969347960265496,T2 (mono-exponential; oxygenation via Luz-Meiboom),,,
snr,blood_arterial,normal,0,32,10.0,1000.0,rician,0,0.000907853127358442,T2 (mono-exponential; oxygenation via Luz-Meiboom),,,
snr,blood_arterial,normal,0,32,10.0,1500.0,rician,0,0.0006052349806024776,T2 (mono-exponential; oxygenation via Luz-Meiboom),,,
snr,blood_arterial,normal,0,32,10.0,2000.0,rician,0,0.0004539261205728208,T2 (mono-exponential; oxygenation via Luz-Meiboom),,,
snr,blood_arterial,normal,0,32,10.0,3000.0,rician,0,0.00030261735901103757,T2 (mono-exponential; oxygenation via Luz-Meiboom),,,
snr,liver,normal,0,32,10.0,20.0,rician,0,1.075787712505147,vascular/long-T2 fraction (1 - mass below 90 ms),0.21999999999999997,0.35729370380804876,
snr,liver,normal,0,32,10.0,30.0,rician,0,0.6367815221414911,vascular/long-T2 fraction (1 - mass below 90 ms),0.21999999999999997,0.21613352168781633,
snr,liver,normal,0,32,10.0,50.0,rician,0,0.35070022335117035,vascular/long-T2 fraction (1 - mass below 90 ms),0.21999999999999997,0.12101758274382754,
snr,liver,normal,0,32,10.0,70.0,rician,0,0.24422968541756654,vascular/long-T2 fraction (1 - mass below 90 ms),0.21999999999999997,0.08469564293729583,
snr,liver,normal,0,32,10.0,100.0,rician,0,0.16893376085029438,vascular/long-T2 fraction (1 - mass below 90 ms),0.21999999999999997,0.05872090048321485,
snr,liver,normal,0,32,10.0,150.0,rician,0,0.11198877238905887,vascular/long-T2 fraction (1 - mass below 90 ms),0.21999999999999997,0.03897018321903736,
snr,liver,normal,0,32,10.0,200.0,rician,0,0.08383384123727837,vascular/long-T2 fraction (1 - mass below 90 ms),0.21999999999999997,0.02918354902772243,
snr,liver,normal,0,32,10.0,300.0,rician,0,0.05581562185417575,vascular/long-T2 fraction (1 - mass below 90 ms),0.21999999999999997,0.019435122815422163,
snr,liver,normal,0,32,10.0,500.0,rician,0,0.03346703504339761,vascular/long-T2 fraction (1 - mass below 90 ms),0.21999999999999997,0.011654828338474527,
snr,liver,normal,0,32,10.0,700.0,rician,0,0.02390065155158289,vascular/long-T2 fraction (1 - mass below 90 ms),0.21999999999999997,0.008323654570011677,
snr,liver,normal,0,32,10.0,1000.0,rician,0,0.01672883242720816,vascular/long-T2 fraction (1 - mass below 90 ms),0.21999999999999997,0.005826104219963907,
snr,liver,normal,0,32,10.0,1500.0,rician,0,0.011151977693106776,vascular/long-T2 fraction (1 - mass below 90 ms),0.21999999999999997,0.003883908075624375,
snr,liver,normal,0,32,10.0,2000.0,rician,0,0.008363831802777012,vascular/long-T2 fraction (1 - mass below 90 ms),0.21999999999999997,0.0029128887055827144,
snr,liver,normal,0,32,10.0,3000.0,rician,0,0.005575815754721886,vascular/long-T2 fraction (1 - mass below 90 ms),0.21999999999999997,0.0019419056402143115,
snr,spleen,normal,0,32,10.0,20.0,rician,0,2.46373709561401,blood/long-T2 fraction (1 - mass below 95 ms),0.35,2.508806850286928,
snr,spleen,normal,0,32,10.0,30.0,rician,0,1.5110663553930264,blood/long-T2 fraction (1 - mass below 95 ms),0.35,1.553581355250728,
snr,spleen,normal,0,32,10.0,50.0,rician,0,0.8591278084395806,blood/long-T2 fraction (1 - mass below 95 ms),0.35,0.8889601458386838,
snr,spleen,normal,0,32,10.0,70.0,rician,0,0.6050540562447253,blood/long-T2 fraction (1 - mass below 95 ms),0.35,0.627119635588332,
snr,spleen,normal,0,32,10.0,100.0,rician,0,0.4207769386061655,blood/long-T2 fraction (1 - mass below 95 ms),0.35,0.436464102928571,
snr,spleen,normal,0,32,10.0,150.0,rician,0,0.27961768672861254,blood/long-T2 fraction (1 - mass below 95 ms),0.35,0.2901544255475495,
snr,spleen,normal,0,32,10.0,200.0,rician,0,0.20948473386778263,blood/long-T2 fraction (1 - mass below 95 ms),0.35,0.21740723163347142,
