N,dTE,t_min,t_max,T_min,T_max,gamma,SNR,n_per_sample,bbp,s1_over_s0,s2_over_s0,s3_over_s0,s4_over_s0,picard_2c,picardraw_2c,energy_2c,picard_3c,picardraw_3c,energy_3c
8,40.0,40.0,320.0,5.0,2000.0,400.0,1000,5,8.81,0.1837274072169841,0.03924812168726246,0.00767218554304514,0.0012901588838082083,5,5,4,4,4,4
8,40.0,40.0,320.0,1.0,10000.0,10000.0,30,2,6.99,0.15213961943798893,0.03180376841633586,0.006192986049324804,0.001042446086027418,3,3,2,3,3,2
8,40.0,40.0,320.0,1.0,10000.0,10000.0,100,3,9.24,0.15213961943798893,0.03180376841633586,0.006192986049324804,0.001042446086027418,3,4,3,3,3,3
8,40.0,40.0,320.0,1.0,10000.0,10000.0,300,4,11.29,0.15213961943798893,0.03180376841633586,0.006192986049324804,0.001042446086027418,4,4,4,4,4,4
8,40.0,40.0,320.0,1.0,10000.0,10000.0,1000,5,13.54,0.15213961943798893,0.03180376841633586,0.006192986049324804,0.001042446086027418,5,4,4,5,4,4
8,10.0,10.0,80.0,10.0,100.0,10.0,30,3,1.75,0.19794568149617628,0.03357719916018058,0.004127666027479077,0.0003712745642413693,2,2,3,3,3,3
8,10.0,10.0,80.0,10.0,100.0,10.0,100,3,2.31,0.19794568149617628,0.03357719916018058,0.004127666027479077,0.0003712745642413693,3,3,3,3,3,3
8,10.0,10.0,80.0,10.0,100.0,10.0,300,4,2.82,0.19794568149617628,0.03357719916018058,0.004127666027479077,0.0003712745642413693,3,3,4,4,4,4
8,10.0,10.0,80.0,10.0,100.0,10.0,1000,4,3.38,0.19794568149617628,0.03357719916018058,0.004127666027479077,0.0003712745642413693,4,4,4,4,4,4
8,10.0,10.0,80.0,10.0,1000.0,100.0,30,2,3.5,0.16382869526051955,0.0290406152100129,0.003890047159428004,0.0003842245612158888,2,3,3,2,2,3
8,10.0,10.0,80.0,10.0,1000.0,100.0,100,3,4.62,0.16382869526051955,0.0290406152100129,0.003890047159428004,0.0003842245612158888,3,3,3,3,3,3
8,10.0,10.0,80.0,10.0,1000.0,100.0,300,4,5.65,0.16382869526051955,0.0290406152100129,0.003890047159428004,0.0003842245612158888,3,4,4,3,4,4
8,10.0,10.0,80.0,10.0,1000.0,100.0,1000,4,6.77,0.16382869526051955,0.0290406152100129,0.003890047159428004,0.0003842245612158888,4,4,4,4,4,4
8,10.0,10.0,80.0,5.0,2000.0,400.0,30,2,4.55,0.15565603554174623,0.032073513967265654,0.005899462719033022,0.0008856459099748902,3,3,3,3,3,3
8,10.0,10.0,80.0,5.0,2000.0,400.0,100,3,6.01,0.15565603554174623,0.032073513967265654,0.005899462719033022,0.0008856459099748902,3,3,3,3,3,3
8,10.0,10.0,80.0,5.0,2000.0,400.0,300,4,7.35,0.15565603554174623,0.032073513967265654,0.005899462719033022,0.0008856459099748902,4,4,4,4,4,4
8,10.0,10.0,80.0,5.0,2000.0,400.0,1000,4,8.81,0.15565603554174623,0.032073513967265654,0.005899462719033022,0.0008856459099748902,4,4,5,4,4,5
8,10.0,10.0,80.0,1.0,10000.0,10000.0,30,2,6.99,0.13315063080443842,0.027509161740900095,0.00533767684801127,0.0008972641793700183,3,3,3,3,3,3
8,10.0,10.0,80.0,1.0,10000.0,10000.0,100,3,9.24,0.13315063080443842,0.027509161740900095,0.00533767684801127,0.0008972641793700183,3,3,3,3,3,3
8,10.0,10.0,80.0,1.0,10000.0,10000.0,300,4,11.29,0.13315063080443842,0.027509161740900095,0.00533767684801127,0.0008972641793700183,4,4,4,4,4,4
8,10.0,10.0,80.0,1.0,10000.0,10000.0,1000,4,13.54,0.13315063080443842,0.027509161740900095,0.00533767684801127,0.0008972641793700183,4,4,5,4,4,5
16,20.0,20.0,320.0,10.0,100.0,10.0,30,3,1.75,0.2048734452369638,0.048042783763061835,0.011111231565335066,0.002393077940889577,2,2,3,4,4,3
16,20.0,20.0,320.0,10.0,100.0,10.0,100,4,2.31,0.2048734452369638,0.048042783763061835,0.011111231565335066,0.002393077940889577,3,3,4,6,6,4
16,20.0,20.0,320.0,10.0,100.0,10.0,300,4,2.82,0.2048734452369638,0.048042783763061835,0.011111231565335066,0.002393077940889577,4,3,4,7,7,4
16,20.0,20.0,320.0,10.0,100.0,10.0,1000,5,3.38,0.2048734452369638,0.048042783763061835,0.011111231565335066,0.002393077940889577,5,5,5,8,8,5
